Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2019,2019 Senior,Able-bodied,Texas,39,62.7,-0.74,63.2,62.2,"U.S. Census Bureau, American Community Survey",2017
2019,2019 Senior,Air Pollution,Texas,41,8.6,0.15,,,AHR data,
2019,2019 Senior,All Determinants - Seniors,Texas,39,-0.206,-0.206,,,America's Health Rankings composite measure,2019
2019,2019 Senior,All Outcomes - Seniors,Texas,38,-0.112,-0.112,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Arthritis Management - Seniors,Texas,40,50.5,-0.78,56.4,44.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Arthritis Management - Seniors - $25-$49,999",Texas,39,50.8,-0.69,65.3,36.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Arthritis Management - Seniors - $50-$74,999",Texas,42,52,-0.67,68.5,35.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Arthritis Management - Seniors - $75,000 or More",Texas,41,55.7,-0.79,69.9,41.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - American Indian/Alaska Native,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Black,Texas,,46.9,,65.7,28.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - College Grad,Texas,49,46.5,-2,57.1,35.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Female,Texas,38,49.9,-0.58,57.1,42.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - High School Grad,Texas,47,46.7,-1.51,58.1,35.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Hispanic,Texas,,55.3,,66.7,44,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Arthritis Management - Seniors - Less Than $25,000",Texas,31,42.8,-0.31,52.5,33.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Less Than High School,Texas,,53.7,,68.2,39.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Male,Texas,35,53.4,-0.22,63.2,43.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Multiracial,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Other Race,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Rural,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Some College,Texas,17,54.7,0.58,65.2,44.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Suburban,Texas,,47.6,,62.5,32.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - Urban,Texas,,47.1,,57.4,36.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Arthritis Management - Seniors - White,Texas,41,49.5,-1.16,56.7,42.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+,Texas,43,6.5,1.06,8.4,4.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Avoided Care Due to Cost - Ages 65+ - $25-$49,999",Texas,,6.6,,10,3.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Avoided Care Due to Cost - Ages 65+ - $50-$74,999",Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Avoided Care Due to Cost - Ages 65+ - $75,000 or More",Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - American Indian/Alaska Native,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Black,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - College Grad,Texas,,3.2,,5,1.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Female,Texas,40,6.4,0.63,8.7,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - High School Grad,Texas,,10.5,,15.7,5.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Hispanic,Texas,,8.5,,12.6,4.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Avoided Care Due to Cost - Ages 65+ - Less Than $25,000",Texas,,11,,15.2,6.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Less Than High School,Texas,,7,,10.8,3.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Male,Texas,,6.8,,10,3.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Multiracial,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Other Race,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Rural,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Some College,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Suburban,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - Urban,Texas,,3.4,,5.1,1.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Avoided Care Due to Cost - Ages 65+ - White,Texas,34,4.6,0.58,6.5,2.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Behaviors - Seniors,Texas,36,-0.076,-0.076,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Cancer Screenings - Ages 65+,Texas,37,68.5,-0.93,72.6,64.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Cancer Screenings - Ages 65+ - $25-$49,999",Texas,37,68.5,-0.62,77,59.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Cancer Screenings - Ages 65+ - $50-$74,999",Texas,38,74.6,-0.83,84.6,64.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Cancer Screenings - Ages 65+ - $75,000 or More",Texas,32,81.7,-0.5,88.5,74.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - American Indian/Alaska Native,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Black,Texas,,76.8,,90.8,62.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - College Grad,Texas,36,77.9,-0.68,83.4,72.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Female,Texas,32,65.8,-0.36,71.6,60,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - High School Grad,Texas,29,67.4,-0.42,75.4,59.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Hispanic,Texas,,57.3,,67.9,46.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Cancer Screenings - Ages 65+ - Less Than $25,000",Texas,34,57.7,-0.57,66.5,48.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Less Than High School,Texas,,53.8,,65.4,42.2,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Male,Texas,45,71.5,-1.55,77.5,65.5,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Multiracial,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Other Race,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Rural,Texas,,60.8,,75.6,46,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Some College,Texas,39,69.3,-0.99,77.7,61,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Suburban,Texas,,68.2,,78.6,57.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - Urban,Texas,,74.5,,82.2,66.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Cancer Screenings - Ages 65+ - White,Texas,32,70.9,-0.69,75.6,66.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Clinical Care - Seniors,Texas,19,0.019,0.019,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Cognitive Difficulty - Seniors,Texas,40,9.6,0.75,9.8,9.4,"U.S. Census Bureau, American Community Survey",2017
2019,2019 Senior,Community & Environment - Macro - Seniors,Texas,47,-0.095,-0.095,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Community & Environment - Micro - Seniors,Texas,40,-0.047,-0.047,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Community & Environment Total - Seniors,Texas,46,-0.142,-0.142,,,America's Health Rankings composite measure,2019
2019,2019 Senior,Community Support,Texas,48,206,-0.65,,,"U.S. HHS, Administration for Community Living, State Program Reports; U.S. Census Bureau, American Community Survey",2017
2019,2019 Senior,Community Support Expenditure,Texas,47,22,-0.68,,,AHR data,
2019,2019 Senior,"Dedicated HC Provider - Ages 65+ - $25-$49,999",Texas,39,93.3,-0.68,97.4,89.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Dedicated HC Provider - Ages 65+ - $50-$74,999",Texas,28,95.9,0,0,91.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Dedicated HC Provider - Ages 65+ - $75,000 or More",Texas,12,97.3,0.69,0,94.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - American Indian/Alaska Native,Texas,,86.4,,101.2,71.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Black,Texas,,98.2,,100.5,96,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - College Grad,Texas,5,97.4,0.9,98.9,95.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Female,Texas,35,94.4,-0.47,96.6,92.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - High School Grad,Texas,38,92.4,-0.7,96.9,87.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Hispanic,Texas,,85.0,,91.2,78.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Dedicated HC Provider - Ages 65+ - Less Than $25,000",Texas,34,91.0,-0.34,94.7,87.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Less Than High School,Texas,42,87.0,-0.82,93.5,80.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Male,Texas,33,92.0,-0.3,95.5,88.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Multiracial,Texas,,86.9,,107.4,66.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Other Race,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Rural,Texas,,96.3,,102.1,90.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Some College,Texas,23,94.7,0,97.6,91.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Suburban,Texas,,95.8,,99,92.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - Urban,Texas,26,95.0,0.08,97.6,92.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated HC Provider - Ages 65+ - White,Texas,20,95.3,0.19,97.5,93,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dedicated Health Care Provider - Ages 65+,Texas,33,93.4,-0.38,95.3,91.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Dental Visit - Seniors,Texas,37,63.1,-0.62,66.3,59.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Dental Visit - Seniors - $25-$49,999",Texas,49,56.8,-1.6,63.9,49.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Dental Visit - Seniors - $50-$74,999",Texas,35,76.7,-0.58,83.8,69.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Dental Visit - Seniors - $75,000 or More",Texas,50,78.2,-2,85.1,71.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - American Indian/Alaska Native,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Black,Texas,,68.1,,79.6,56.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - College Grad,Texas,49,78.3,-2,82.8,73.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Female,Texas,37,63.3,-0.72,67.4,59.1,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - High School Grad,Texas,18,62.4,0.24,68.5,56.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Hispanic,Texas,,46.2,,55,37.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,"Dental Visit - Seniors - Less Than $25,000",Texas,14,50.8,0.55,57.6,44.1,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Less Than High School,Texas,,41.3,,50.7,31.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Male,Texas,34,62.8,-0.46,68.1,57.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Multiracial,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Other Race,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Rural,Texas,,65.5,,77.8,53.1,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Some College,Texas,39,66.2,-0.75,72.1,60.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Suburban,Texas,,68.2,,75,61.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - Urban,Texas,30,69,-0.05,74.7,63.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Dental Visit - Seniors - White,Texas,33,67.6,-0.33,71.3,64,"CDC, Behavioral Risk Factor Surveillance System",2016
2019,2019 Senior,Depression - Seniors,Texas,45,18.8,1.18,22.2,15.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Depression - Seniors - $25-$49,999",Texas,49,21.8,1.75,30.5,13.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Depression - Seniors - $50-$74,999",Texas,,20.1,,28.3,12,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Depression - Seniors - $75,000 or More",Texas,,12.9,,18.9,6.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - American Indian/Alaska Native,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Black,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - College Grad,Texas,25,13.8,0.14,18.3,9.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Female,Texas,41,21.2,0.82,26,16.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Hawaiian/Pacific Islander,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - High School Grad,Texas,48,18.9,1.33,24.8,13,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Hispanic,Texas,,18.2,,24.6,11.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,"Depression - Seniors - Less Than $25,000",Texas,38,23.1,0.66,29.8,16.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Senior,Depression - Seniors - Less Than High School,Texas,,24.9,,35.1,14.7,"CDC, Behavioral Risk Factor Surveillance System",2017
