Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; Texas Counties; 2017
Data downloaded on 22-September-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Anderson County,Texas,48001,11.4,6.3,18.2
Andrews County,Texas,48003,7.4,3.3,14.5
Angelina County,Texas,48005,13.5,11.2,16.1
Aransas County,Texas,48007,10.5,5.0,19.2
Archer County,Texas,48009,9.7,4.7,19.2
Armstrong County,Texas,48011,8.6,3.5,21.2
Atascosa County,Texas,48013,15.7,7.9,28.4
Austin County,Texas,48015,7.7,4.2,13.2
Bailey County,Texas,48017,6.4,3.2,12.3
Bandera County,Texas,48019,11.6,4.9,27.8
Bastrop County,Texas,48021,11.4,7.8,15.7
Baylor County,Texas,48023,7.5,3.5,14.1
Bee County,Texas,48025,10.4,4.1,22.4
Bell County,Texas,48027,11.7,8.6,15.5
Bexar County,Texas,48029,9.7,8.1,11.2
Blanco County,Texas,48031,8.6,3.1,19.0
Borden County,Texas,48033,4.3,2.1,8.1
Bosque County,Texas,48035,8.4,3.6,21.7
Bowie County,Texas,48037,14.5,7.7,24.7
Brazoria County,Texas,48039,11.1,7.9,15.5
Brazos County,Texas,48041,10.5,9.0,12.4
Brewster County,Texas,48043,9.9,4.5,19.2
Briscoe County,Texas,48045,8.9,2.9,23.0
Brooks County,Texas,48047,7.9,3.7,17.5
Brown County,Texas,48049,10.8,5.4,18.8
Burleson County,Texas,48051,11.0,5.4,20.1
Burnet County,Texas,48053,14.2,7.6,25.0
Caldwell County,Texas,48055,11.8,7.3,18.0
Calhoun County,Texas,48057,10.0,4.5,20.1
Callahan County,Texas,48059,15.9,7.7,32.0
Cameron County,Texas,48061,11.8,8.5,16.0
Camp County,Texas,48063,6.3,2.9,13.0
Carson County,Texas,48065,6.4,2.3,16.6
Cass County,Texas,48067,13.6,5.1,32.2
Castro County,Texas,48069,6.5,3.0,12.5
Chambers County,Texas,48071,8.4,3.5,16.7
Cherokee County,Texas,48073,11.1,6.2,17.8
Childress County,Texas,48075,7.4,2.7,16.7
Clay County,Texas,48077,11.9,6.8,19.5
Cochran County,Texas,48079,12.0,4.6,28.6
Coke County,Texas,48081,4.7,2.1,9.1
Coleman County,Texas,48083,12.7,5.5,28.1
Collin County,Texas,48085,7.6,5.8,9.7
Collingsworth County,Texas,48087,7.2,3.2,15.1
Colorado County,Texas,48089,9.6,4.8,17.1
Comal County,Texas,48091,6.2,3.9,9.2
Comanche County,Texas,48093,8.4,3.5,17.1
Concho County,Texas,48095,5.4,2.9,9.5
Cooke County,Texas,48097,14.9,5.6,33.5
Coryell County,Texas,48099,6.6,3.4,12.0
Cottle County,Texas,48101,12.3,5.1,26.8
Crane County,Texas,48103,6.2,2.0,15.8
Crockett County,Texas,48105,6.8,2.8,14.6
Crosby County,Texas,48107,6.7,2.5,18.4
Culberson County,Texas,48109,7.6,3.1,16.5
Dallam County,Texas,48111,7.5,3.7,13.7
Dallas County,Texas,48113,7.8,6.6,9.2
Dawson County,Texas,48115,15.3,5.6,34.0
Deaf Smith County,Texas,48117,10.9,4.1,25.0
Delta County,Texas,48119,6.3,2.7,12.1
Denton County,Texas,48121,7.4,5.3,9.7
Dewitt County,Texas,48123,9.1,3.9,19.2
Dickens County,Texas,48125,4.9,2.2,9.4
Dimmit County,Texas,48127,8.4,3.7,18.0
Donley County,Texas,48129,10.1,4.2,21.9
Duval County,Texas,48131,13.5,5.5,31.1
Eastland County,Texas,48133,6.7,2.7,16.6
Ector County,Texas,48135,9.2,5.6,13.5
Edwards County,Texas,48137,5.7,2.5,11.8
El Paso County,Texas,48141,10.5,8.5,12.7
Ellis County,Texas,48139,11.7,10.1,13.5
Erath County,Texas,48143,16.0,7.0,31.7
Falls County,Texas,48145,5.2,1.4,12.9
Fannin County,Texas,48147,7.2,3.2,13.5
Fayette County,Texas,48149,9.5,4.9,18.1
Fisher County,Texas,48151,5.1,2.7,8.8
Floyd County,Texas,48153,6.7,2.2,19.1
Foard County,Texas,48155,11.8,5.3,28.2
Fort Bend County,Texas,48157,9.4,6.5,13.2
Franklin County,Texas,48159,11.0,4.1,25.2
Freestone County,Texas,48161,13.2,6.6,24.0
Frio County,Texas,48163,5.5,2.1,11.9
Gaines County,Texas,48165,6.4,3.0,12.1
Galveston County,Texas,48167,11.1,9.6,12.7
Garza County,Texas,48169,6.1,2.5,12.4
Gillespie County,Texas,48171,6.9,3.0,12.6
Glasscock County,Texas,48173,6.7,2.5,15.9
Goliad County,Texas,48175,9.0,4.0,20.1
Gonzales County,Texas,48177,15.5,7.1,32.9
Gray County,Texas,48179,21.9,9.7,41.2
Grayson County,Texas,48181,9.1,4.6,17.5
Gregg County,Texas,48183,8.0,4.6,13.8
Grimes County,Texas,48185,14.3,8.0,22.9
Guadalupe County,Texas,48187,9.2,5.8,13.4
Hale County,Texas,48189,13.7,6.6,24.1
Hall County,Texas,48191,6.8,2.9,14.5
Hamilton County,Texas,48193,8.5,3.4,21.4
Hansford County,Texas,48195,6.4,2.9,12.6
Hardeman County,Texas,48197,9.2,4.4,17.1
Hardin County,Texas,48199,7.2,3.9,12.5
Harris County,Texas,48201,10.1,8.9,11.5
Harrison County,Texas,48203,13.1,7.8,21.7
Hartley County,Texas,48205,6.0,2.0,16.5
Haskell County,Texas,48207,8.7,3.8,20.9
Hays County,Texas,48209,8.8,6.7,11.2
Hemphill County,Texas,48211,6.2,2.2,16.8
Henderson County,Texas,48213,12.9,8.6,18.9
Hidalgo County,Texas,48215,11.3,9.0,14.0
Hill County,Texas,48217,10.5,5.5,19.1
Hockley County,Texas,48219,9.1,4.4,16.7
Hood County,Texas,48221,11.2,6.1,19.9
Hopkins County,Texas,48223,8.6,3.9,16.3
Houston County,Texas,48225,12.9,7.7,19.6
Howard County,Texas,48227,5.7,2.2,11.7
Hudspeth County,Texas,48229,8.9,4.3,17.2
Hunt County,Texas,48231,12.5,6.8,21.3
Hutchinson County,Texas,48233,7.5,3.5,14.3
Irion County,Texas,48235,7.2,3.1,13.6
Jack County,Texas,48237,6.0,2.5,15.2
Jackson County,Texas,48239,11.7,4.9,23.8
Jasper County,Texas,48241,13.1,7.4,21.7
Jeff Davis County,Texas,48243,6.1,2.3,15.5
Jefferson County,Texas,48245,13.4,10.0,17.1
Jim Hogg County,Texas,48247,6.9,3.3,14.0
Jim Wells County,Texas,48249,16.7,6.8,33.8
Johnson County,Texas,48251,11.8,7.7,17.0
Jones County,Texas,48253,7.4,2.7,18.4
Karnes County,Texas,48255,5.7,2.8,10.9
Kaufman County,Texas,48257,12.3,6.9,19.8
Kendall County,Texas,48259,8.1,4.1,15.3
Kenedy County,Texas,48261,9.3,4.0,21.4
Kent County,Texas,48263,9.2,4.3,18.1
Kerr County,Texas,48265,11.4,5.5,21.7
Kimble County,Texas,48267,6.0,2.4,12.8
King County,Texas,48269,7.8,3.5,18.1
Kinney County,Texas,48271,7.6,2.6,21.4
Kleberg County,Texas,48273,7.7,3.7,15.6
Knox County,Texas,48275,6.2,2.8,13.2
La Salle County,Texas,48283,6.1,2.9,12.1
Lamar County,Texas,48277,13.7,10.4,17.8
Lamb County,Texas,48279,15.3,6.0,32.7
Lampasas County,Texas,48281,11.9,5.3,21.9
Lavaca County,Texas,48285,17.2,7.3,35.6
Lee County,Texas,48287,12.8,7.3,20.3
Leon County,Texas,48289,9.9,4.7,18.3
Liberty County,Texas,48291,18.2,10.0,32.0
Limestone County,Texas,48293,11.4,4.6,24.8
Lipscomb County,Texas,48295,6.6,2.8,14.2
Live Oak County,Texas,48297,7.9,2.8,19.2
Llano County,Texas,48299,7.8,3.4,15.9
Loving County,Texas,48301,6.7,2.4,14.9
Lubbock County,Texas,48303,6.0,3.9,8.7
Lynn County,Texas,48305,13.7,6.5,26.4
Madison County,Texas,48313,13.9,6.5,26.8
Marion County,Texas,48315,19.1,7.3,38.0
Martin County,Texas,48317,5.8,2.5,12.2
Mason County,Texas,48319,5.6,2.2,13.2
Matagorda County,Texas,48321,8.5,3.5,17.5
Maverick County,Texas,48323,17.3,7.6,33.7
Mcculloch County,Texas,48307,11.1,4.3,25.1
Mclennan County,Texas,48309,9.5,6.0,14.1
Mcmullen County,Texas,48311,7.3,3.2,15.0
Medina County,Texas,48325,13.4,5.9,27.5
Menard County,Texas,48327,7.0,2.5,17.0
Midland County,Texas,48329,6.3,3.7,9.6
Milam County,Texas,48331,16.5,7.9,28.1
Mills County,Texas,48333,5.5,1.8,13.2
Mitchell County,Texas,48335,19.2,5.9,43.0
Montague County,Texas,48337,11.6,6.2,20.1
Montgomery County,Texas,48339,8.7,6.1,11.9
Moore County,Texas,48341,8.6,4.0,17.5
Morris County,Texas,48343,12.2,4.1,26.3
Motley County,Texas,48345,9.4,4.0,21.4
Nacogdoches County,Texas,48347,11.8,9.3,14.4
Navarro County,Texas,48349,15.9,9.1,25.5
Newton County,Texas,48351,6.2,2.8,12.2
Nolan County,Texas,48353,13.9,6.6,26.0
Nueces County,Texas,48355,12.3,10.2,14.6
Ochiltree County,Texas,48357,12.1,5.3,25.4
Oldham County,Texas,48359,10.3,3.9,26.6
Orange County,Texas,48361,14.5,9.9,20.1
Palo Pinto County,Texas,48363,12.2,6.6,20.7
Panola County,Texas,48365,10.7,4.5,21.0
Parker County,Texas,48367,7.7,4.7,11.9
Parmer County,Texas,48369,10.4,3.7,22.6
Pecos County,Texas,48371,16.7,6.8,34.6
Polk County,Texas,48373,18.5,9.6,32.8
Potter County,Texas,48375,11.1,6.2,18.2
Presidio County,Texas,48377,17.5,8.2,35.4
Rains County,Texas,48379,5.9,2.7,11.4
Randall County,Texas,48381,7.1,3.9,11.8
Reagan County,Texas,48383,6.6,2.9,13.2
Real County,Texas,48385,5.6,2.5,11.4
Red River County,Texas,48387,17.5,11.0,28.7
Reeves County,Texas,48389,13.8,5.8,29.5
Refugio County,Texas,48391,6.0,2.6,16.8
Roberts County,Texas,48393,6.4,2.8,13.9
Robertson County,Texas,48395,14.8,7.2,27.6
Rockwall County,Texas,48397,13.6,7.7,22.5
Runnels County,Texas,48399,6.4,2.8,15.5
Rusk County,Texas,48401,14.5,10.7,19.5
Sabine County,Texas,48403,5.9,2.4,10.9
San Augustine County,Texas,48405,19.5,8.4,37.7
San Jacinto County,Texas,48407,13.2,6.4,24.4
San Patricio County,Texas,48409,9.0,5.1,14.8
San Saba County,Texas,48411,5.5,2.2,12.0
Schleicher County,Texas,48413,12.1,4.7,27.8
Scurry County,Texas,48415,7.7,3.2,17.5
Shackelford County,Texas,48417,8.4,4.2,15.9
Shelby County,Texas,48419,7.9,3.2,16.0
Sherman County,Texas,48421,5.7,2.2,16.7
Smith County,Texas,48423,11.8,8.1,16.6
Somervell County,Texas,48425,4.6,2.0,9.2
Starr County,Texas,48427,12.3,6.3,20.6
Stephens County,Texas,48429,11.8,5.5,23.2
Sterling County,Texas,48431,8.7,3.3,19.2
Stonewall County,Texas,48433,7.0,3.2,14.0
Sutton County,Texas,48435,11.0,4.3,21.8
Swisher County,Texas,48437,7.3,2.5,21.9
Tarrant County,Texas,48439,10.9,9.5,12.5
Taylor County,Texas,48441,8.4,5.5,12.1
Terrell County,Texas,48443,4.2,1.7,14.5
Terry County,Texas,48445,19.7,8.6,36.6
Throckmorton County,Texas,48447,11.4,3.6,24.6
Titus County,Texas,48449,8.9,3.6,21.0
Tom Green County,Texas,48451,12.0,7.2,18.5
Travis County,Texas,48453,7.6,6.8,8.5
Trinity County,Texas,48455,21.1,9.3,38.4
Tyler County,Texas,48457,9.4,4.6,17.2
Upshur County,Texas,48459,12.9,6.5,22.4
Upton County,Texas,48461,5.9,2.6,11.2
Uvalde County,Texas,48463,14.3,5.7,30.4
Val Verde County,Texas,48465,7.4,3.5,14.6
Van Zandt County,Texas,48467,11.8,6.6,19.3
Victoria County,Texas,48469,15.8,10.1,23.3
Walker County,Texas,48471,11.5,6.2,19.5
Waller County,Texas,48473,12.5,10.1,15.5
Ward County,Texas,48475,19.1,8.5,36.6
Washington County,Texas,48477,12.6,6.8,21.9
Webb County,Texas,48479,9.5,5.6,15.1
Wharton County,Texas,48481,13.4,6.5,23.8
Wheeler County,Texas,48483,5.5,2.4,11.6
Wichita County,Texas,48485,16.5,14.1,19.1
Wilbarger County,Texas,48487,17.0,9.8,28.5
Willacy County,Texas,48489,18.8,8.0,35.3
Williamson County,Texas,48491,8.4,7.1,10.0
Wilson County,Texas,48493,7.6,3.7,15.6
Winkler County,Texas,48495,6.9,2.4,15.4
Wise County,Texas,48497,14.6,8.3,23.0
Wood County,Texas,48499,19.2,8.2,37.8
Yoakum County,Texas,48501,11.5,4.9,27.7
Young County,Texas,48503,11.9,7.0,18.9
Zapata County,Texas,48505,11.4,3.0,31.4
Zavala County,Texas,48507,8.0,3.0,17.5
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.